name,country,url
320-5 (50 Ov),New Zealand Innings,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
228-10 (49.4 Ov),Bangladesh Innings,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
315-6 (50 Ov),South Africa Innings,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
351-8 (50 Ov),England Innings,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
241-10 (49.4 Ov),Pakistan Innings,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
236-9 (50 Ov),Bangladesh Innings,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
325-7 (50 Ov),Afghanistan Innings,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
273-10 (50 Ov),Afghanistan Innings,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
179-10 (38.2 Ov),England Innings,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
249-9 (50 Ov),India Innings,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
264-10 (49.3 Ov),Australia Innings,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
362-6 (50 Ov),New Zealand Innings,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
251-7 (50 Ov),New Zealand Innings,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
260-10 (47.2 Ov),Pakistan Innings,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
231-4 (46.3 Ov),India Innings,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
208-10 (43.3 Ov),Afghanistan Innings,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
356-5 (47.3 Ov),Australia Innings,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
244-4 (42.3 Ov),India Innings,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
240-5 (46.1 Ov),New Zealand Innings,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
317-10 (49.5 Ov),England Innings,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
109-1 (12.5 Ov),Australia Innings,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
181-3 (29.1 Ov),South Africa Innings,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
205-10 (45.3 Ov),New Zealand Innings,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
267-6 (48.1 Ov),India Innings,https://www.cricbuzz.com/live-cricket-scorecard/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
312-9 (50 Ov),South Africa Innings,https://www.cricbuzz.com/live-cricket-scorecard/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
254-6 (49 Ov),India Innings,https://www.cricbuzz.com/live-cricket-scorecard/112469/ind-vs-nz-final-icc-champions-trophy-2025
0,Australia Innings,https://www.cricbuzz.com/cricket-scores/112430/aus-vs-rsa-7th-match-group-b-icc-champions-trophy-2025
0,South Africa Innings,https://www.cricbuzz.com/cricket-scores/112430/aus-vs-rsa-7th-match-group-b-icc-champions-trophy-2025
0,Pakistan Innings,https://www.cricbuzz.com/cricket-scores/112441/pak-vs-ban-9th-match-group-a-icc-champions-trophy-2025
0,Bangladesh Innings,https://www.cricbuzz.com/cricket-scores/112441/pak-vs-ban-9th-match-group-a-icc-champions-trophy-2025
