Venues,Date,Matches,Result,Time,full_link
"National Stadium, Karachi","Feb 19, Wed","PAKISTAN vs NEW ZEALAND, 1st Match, Group A",New Zealand won by 60 runs,09:00 AM GMT / 02:00 PM LOCAL,https://www.cricbuzz.com/cricket-scores/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
"Dubai International Cricket Stadium, Dubai","Feb 20, Thu","BANGLADESH vs INDIA, 2nd Match, Group A",India won by 6 wkts,"09:00 AM GMT	/ 01:00 PM LOCAL",https://www.cricbuzz.com/cricket-scores/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
"National Stadium, Karachi","Feb 21, Fri","AFGHANISTAN vs SOUTH AFRICA, 3rd Match, Group B",South Africa won by 107 runs,"09:00 AM GMT	/ 02:00 PM LOCAL",https://www.cricbuzz.com/cricket-scores/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
"Gaddafi Stadium, Lahore","Feb 22, Sat","AUSTRALIA vs ENGLAND, 4th Match, Group B",Australia won by 5 wkts,"09:00 AM GMT	/ 02:00 PM LOCAL",https://www.cricbuzz.com/cricket-scores/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
"Dubai International Cricket Stadium, Dubai","Feb 23, Sun","PAKISTAN vs INDIA, 5th Match, Group A",India won by 6 wkts,"09:00 AM GMT	/ 01:00 PM LOCAL",https://www.cricbuzz.com/cricket-scores/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
"Rawalpindi Cricket Stadium, Rawalpindi","Feb 24, Mon","BANGLADESH vs NEW ZEALAND, 6th Match, Group A",New Zealand won by 5 wkts,"09:00 AM GMT	/ 02:00 PM LOCAL",https://www.cricbuzz.com/cricket-scores/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
"Rawalpindi Cricket Stadium, Rawalpindi","Feb 25, Tue","AUSTRALIA vs SOUTH AFRICA, 7th Match, Group B",Match abandoned due to rain (No toss),"09:00 AM GMT	/ 02:00 PM LOCAL",https://www.cricbuzz.com/cricket-scores/112430/aus-vs-rsa-7th-match-group-b-icc-champions-trophy-2025
"Gaddafi Stadium, Lahore","Feb 26, Wed","AFGHANISTAN vs ENGLAND, 8th Match, Group B",Afghanistan won by 8 runs,"09:00 AM GMT	/ 02:00 PM LOCAL",https://www.cricbuzz.com/cricket-scores/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
"Rawalpindi Cricket Stadium, Rawalpindi","Feb 27, Thu","PAKISTAN vs BANGLADESH, 9th Match, Group A",Match abandoned due to rain (No toss),"09:00 AM GMT	/ 02:00 PM LOCAL",https://www.cricbuzz.com/cricket-scores/112441/pak-vs-ban-9th-match-group-a-icc-champions-trophy-2025
"Gaddafi Stadium, Lahore","Feb 28, Fri","AFGHANISTAN vs AUSTRALIA, 10th Match, Group B",No result - due to rain,"09:00 AM GMT	/ 02:00 PM LOCAL",https://www.cricbuzz.com/cricket-scores/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
"National Stadium, Karachi","Mar 01, Sat","SOUTH AFRICA vs ENGLAND, 11th Match, Group B",South Africa won by 7 wkts,"09:00 AM GMT	/ 02:00 PM LOCAL",https://www.cricbuzz.com/cricket-scores/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
"Dubai International Cricket Stadium, Dubai","Mar 02, Sun","NEW ZEALAND vs INDIA, 12th Match, Group A",India won by 44 runs,"09:00 AM GMT	/ 01:00 PM LOCAL",https://www.cricbuzz.com/cricket-scores/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
"Dubai International Cricket Stadium, Dubai","Mar 04, Tue","INDIA vs AUSTRALIA, 1st Semi-Final (A1 v B2)",India won by 4 wkts,"09:00 AM GMT	/ 01:00 PM LOCAL",https://www.cricbuzz.com/cricket-scores/112462/ind-vs-aus-1st-semi-final-a1-v-b2-icc-champions-trophy-2025
"Gaddafi Stadium, Lahore","Mar 05, Wed","SOUTH AFRICA vs NEW ZEALAND, 2nd Semi-Final (B1 v A2)",New Zealand won by 50 runs,"09:00 AM GMT	/ 02:00 PM LOCAL",https://www.cricbuzz.com/cricket-scores/112465/rsa-vs-nz-2nd-semi-final-b1-v-a2-icc-champions-trophy-2025
"Dubai International Cricket Stadium, Dubai","Mar 09, Sun","INDIA vs NEW ZEALAND, Final",India won by 4 wkts,"09:00 AM GMT	/ 01:00 PM LOCAL",https://www.cricbuzz.com/cricket-scores/112469/ind-vs-nz-final-icc-champions-trophy-2025
