name,country,Player_summary,birth,birth_place,role,batting_style,bowling_style
Wiaan Mulder,South Africa,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619863/wiaan-mulder.jpg,"February 19, 1998 (27 years)",Gauteng,Bowling Allrounder,Right Handed Bat,Right-arm medium
Noor Ahmad,Afghanistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616569/noor-ahmad.jpg,"January 03, 2005 (20 years)",--,Bowler,Right Handed Bat,Left-arm wrist-spin
Ibrahim Zadran,Afghanistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616547/ibrahim-zadran.jpg,"December 12, 2001 (23 years)",Khost,Batsman,Right Handed Bat,Right-arm fast-medium
Brydon Carse,England,https://static.cricbuzz.com/a/img/v1/152x152/i1/c617409/brydon-carse.jpg,"July 31, 1995 (29 years)","Port Elizabeth, Cape Province",Bowler,Right Handed Bat,Right-arm fast
Mustafizur Rahman,Bangladesh,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616463/mustafizur-rahman.jpg,"September 06, 1995 (29 years)",Satkhira,Bowler,Left Handed Bat,Left-arm fast-medium
Towhid Hridoy,Bangladesh,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616468/towhid-hridoy.jpg,"December 04, 2000 (24 years)",Bogra,Batsman,Right Handed Bat,Right-arm offbreak
Mohammad Nabi,Afghanistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616550/mohammad-nabi.jpg,"January 01, 1985 (40 years)","Loger, Afghanistan",Bowling Allrounder,Right Handed Bat,Right-arm offbreak
Will Young,New Zealand,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616420/will-young.jpg,"November 22, 1992 (32 years)",New Plymouth,Batsman,Right Handed Bat,Right-arm offbreak
Haris Rauf,Pakistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616449/haris-rauf.jpg,"November 07, 1993 (31 years)",Rawalpindi,Bowler,Right Handed Bat,Right-arm fast
Rohit Sharma,India,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616514/rohit-sharma.jpg,"April 30, 1987 (37 years)","Nagpur, Maharashtra",Batsman,Right Handed Bat,Right-arm offbreak
Josh Inglis,Australia,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619881/josh-inglis.jpg,"March 04, 1995 (30 years)","Leeds, Yorkshire, England",WK-Batsman,Right Handed Bat,"Cricket Australia XI, Perth Scorchers, Western Australia, National Performance Squad, Australia A, Leicestershire, London Spirit, Australia, Prime Ministers XI, San Francisco Unicorns, Punjab Kings"
Adam Zampa,Australia,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619887/adam-zampa.jpg,"March 31, 1992 (32 years)","Shellharbour, New South Wales",Bowler,Right Handed Bat,Right-arm legbreak
Ryan Rickelton,South Africa,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619865/ryan-rickelton.jpg,"July 11, 1996 (28 years)","Johannesburg, Transvaal, South Africa",WK-Batsman,Left Handed Bat,"Lions, Jozi Stars, South Africa, South Africa A, Northamptonshire, MI Cape Town, Yorkshire, Seattle Orcas, Mumbai Indians"
Temba Bavuma,South Africa,https://static.cricbuzz.com/a/img/v1/152x152/i1/c619857/temba-bavuma.jpg,"May 17, 1990 (34 years)","Cape Town, Cape Province",Batsman,Right Handed Bat,Right-arm medium
Jamie Smith,England,https://static.cricbuzz.com/a/img/v1/152x152/i1/c617406/jamie-smith.jpg,"July 12, 2000 (24 years)","Epsom, Surrey",WK-Batsman,Right Handed Bat,"Surrey, England Lions, London Spirit, Birmingham Phoenix, England, Gulf Giants"
Rishad Hossain,Bangladesh,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616457/rishad-hossain.jpg,"July 15, 2002 (22 years)",Nilphamari,Bowler,Right Handed Bat,Right-arm legbreak
Babar Azam,Pakistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616440/babar-azam.jpg,"October 15, 1994 (30 years)","Lahore, Punjab",Batsman,Right Handed Bat,Right-arm offbreak
Sediqullah Atal,Afghanistan,https://static.cricbuzz.com/a/img/v1/152x152/i1/c616545/sediqullah-atal.jpg,"August 12, 2001 (23 years)",--,Batsman,Left Handed Bat,"Afghanistan U19, Afghanistan, Afghanistan A, MI Cape Town"
