bat_pos,batsman_name,Country,outornot_detail,runs,Bowls,Fours,Sixes,Strike_rate,url
1,Will Young,New Zealand Innings,c (sub)Faheem Ashraf b Naseem Shah,107,113,12,1,94.69,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
2,Conway,New Zealand Innings,b Abrar Ahmed,10,17,2,0,58.82,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
3,Williamson,New Zealand Innings,c Rizwan b Naseem Shah,1,2,0,0,50.0,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
4,Daryl Mitchell,New Zealand Innings,c Shaheen Afridi b Haris Rauf,10,24,0,0,41.67,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
5,Latham (wk),New Zealand Innings,not out,118,104,10,3,113.46,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
6,Glenn Phillips,New Zealand Innings,c Fakhar Zaman b Haris Rauf,61,39,3,4,156.41,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
7,Michael Bracewell,New Zealand Innings,not out,0,1,0,0,0.0,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
7,Michael Bracewell,New Zealand Innings,not out,0,1,0,0,0.0,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
7,Michael Bracewell,New Zealand Innings,not out,0,1,0,0,0.0,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
7,Michael Bracewell,New Zealand Innings,not out,0,1,0,0,0.0,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
1,Tanzid Hasan,Bangladesh Innings,c Rahul b Axar,25,25,4,0,100.0,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
2,Soumya Sarkar,Bangladesh Innings,c Rahul b Shami,0,5,0,0,0.0,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
3,Shanto (c),Bangladesh Innings,c Kohli b Harshit Rana,0,2,0,0,0.0,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
4,Mehidy Hasan Miraz,Bangladesh Innings,c Shubman Gill b Shami,5,10,1,0,50.0,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
5,Towhid Hridoy,Bangladesh Innings,c Shami b Harshit Rana,100,118,6,2,84.75,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
6,Mushfiqur Rahim (wk),Bangladesh Innings,c Rahul b Axar,0,1,0,0,0.0,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
7,Jaker Ali,Bangladesh Innings,c Kohli b Shami,68,114,4,0,59.65,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
8,Rishad Hossain,Bangladesh Innings,c Hardik Pandya b Harshit Rana,18,12,1,2,150.0,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
9,Tanzim Hasan Sakib,Bangladesh Innings,b Shami,0,4,0,0,0.0,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
10,Taskin Ahmed,Bangladesh Innings,c Shreyas Iyer b Shami,3,6,0,0,50.0,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
11,Mustafizur,Bangladesh Innings,not out,0,2,0,0,0.0,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
11,Mustafizur,Bangladesh Innings,not out,0,2,0,0,0.0,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
11,Mustafizur,Bangladesh Innings,not out,0,2,0,0,0.0,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
1,Rickelton (wk),South Africa Innings,run out (Rashid Khan/Gurbaz),103,106,7,1,97.17,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
2,Tony de Zorzi,South Africa Innings,c Azmatullah b Nabi,11,11,2,0,100.0,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
3,Bavuma (c),South Africa Innings,c Sediqullah Atal b Nabi,58,76,5,0,76.32,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
4,van der Dussen,South Africa Innings,c Shahidi b Noor Ahmad,52,46,3,2,113.04,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
5,Markram,South Africa Innings,not out,52,36,6,1,144.44,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
6,David Miller,South Africa Innings,c Rahmat b Fazalhaq Farooqi,14,18,1,0,77.78,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
7,Marco Jansen,South Africa Innings,b Azmatullah,0,1,0,0,0.0,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
8,Mulder,South Africa Innings,not out,12,6,1,1,200.0,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
8,Mulder,South Africa Innings,not out,12,6,1,1,200.0,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
8,Mulder,South Africa Innings,not out,12,6,1,1,200.0,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
8,Mulder,South Africa Innings,not out,12,6,1,1,200.0,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
1,Phil Salt,England Innings,c Alex Carey b Dwarshuis,10,6,1,1,166.67,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
2,Duckett,England Innings,lbw b Labuschagne,165,143,17,3,115.38,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
