bowler_name,Country,overs,Maideins,Runs,Wicket,No_ball,wide,Economy,url
Shaheen Afridi,Pakistan Innings,10.0,0,68,0,0,2,6.8,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
Naseem Shah,Pakistan Innings,10.0,0,63,2,0,0,6.3,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
Abrar Ahmed,Pakistan Innings,10.0,0,47,1,0,1,4.7,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
Haris Rauf,Pakistan Innings,10.0,0,83,2,0,6,8.3,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
Khushdil,Pakistan Innings,7.0,0,40,0,0,0,5.7,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
Salman Agha,Pakistan Innings,3.0,0,15,0,0,0,5.0,https://www.cricbuzz.com/live-cricket-scorecard/112395/pak-vs-nz-1st-match-group-a-icc-champions-trophy-2025
Shami,India Innings,10.0,0,53,5,0,3,5.3,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
Harshit Rana,India Innings,7.4,0,31,3,0,1,4.0,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
Axar,India Innings,9.0,1,43,2,0,0,4.8,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
Hardik Pandya,India Innings,4.0,0,20,0,0,3,5.0,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
Ravindra Jadeja,India Innings,9.0,0,37,0,0,0,4.1,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
Kuldeep Yadav,India Innings,10.0,0,43,0,1,0,4.3,https://www.cricbuzz.com/live-cricket-scorecard/112402/ban-vs-ind-2nd-match-group-a-icc-champions-trophy-2025
Fazalhaq Farooqi,Afghanistan Innings,8.0,0,59,1,0,1,7.4,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
Azmatullah,Afghanistan Innings,6.0,0,39,1,0,0,6.5,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
Nabi,Afghanistan Innings,10.0,0,51,2,0,2,5.1,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
Rashid Khan,Afghanistan Innings,10.0,0,59,0,0,1,5.9,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
Gulbadin,Afghanistan Innings,7.0,0,42,0,0,0,6.0,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
Noor Ahmad,Afghanistan Innings,9.0,0,65,1,0,9,7.2,https://www.cricbuzz.com/live-cricket-scorecard/112409/afg-vs-rsa-3rd-match-group-b-icc-champions-trophy-2025
Spencer Johnson,Australia Innings,7.0,0,54,0,1,0,7.7,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
Dwarshuis,Australia Innings,10.0,0,66,3,0,7,6.6,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
Nathan Ellis,Australia Innings,10.0,0,51,0,0,3,5.1,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
Maxwell,Australia Innings,7.0,0,58,1,0,0,8.3,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
Zampa,Australia Innings,10.0,0,64,2,1,1,6.4,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
Matthew Short,Australia Innings,1.0,0,7,0,0,0,7.0,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
Labuschagne,Australia Innings,5.0,0,41,2,0,0,8.2,https://www.cricbuzz.com/live-cricket-scorecard/112413/aus-vs-eng-4th-match-group-b-icc-champions-trophy-2025
Shami,India Innings,8.0,0,43,0,0,5,5.4,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
Harshit Rana,India Innings,7.4,0,30,1,0,2,3.9,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
Hardik Pandya,India Innings,8.0,0,31,2,0,2,3.9,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
Axar,India Innings,10.0,0,49,1,0,0,4.9,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
Kuldeep Yadav,India Innings,9.0,0,40,3,0,0,4.4,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
Ravindra Jadeja,India Innings,7.0,0,40,1,0,0,5.7,https://www.cricbuzz.com/live-cricket-scorecard/112420/pak-vs-ind-5th-match-group-a-icc-champions-trophy-2025
Matt Henry,New Zealand Innings,9.0,0,57,1,0,3,6.3,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
Jamieson,New Zealand Innings,9.0,1,48,1,0,3,5.3,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
Michael Bracewell,New Zealand Innings,10.0,0,26,4,0,0,2.6,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
William ORourke,New Zealand Innings,10.0,1,48,2,0,11,4.8,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
Santner (c),New Zealand Innings,10.0,1,44,0,0,5,4.4,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
Glenn Phillips,New Zealand Innings,2.0,0,10,0,0,0,5.0,https://www.cricbuzz.com/live-cricket-scorecard/112427/ban-vs-nz-6th-match-group-a-icc-champions-trophy-2025
Jofra Archer,England Innings,10.0,0,64,3,0,4,6.4,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
Mark Wood,England Innings,8.0,0,50,0,0,0,6.2,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
Jamie Overton,England Innings,10.0,0,72,1,0,2,7.2,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
Adil Rashid,England Innings,10.0,0,60,1,0,1,6.0,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
